Grupo,Título,Link,ID do Produto,Imagem
camisa,Camisa Estampada Jogo Do Mar,https://www.farmrio.com.br/camisa-estampada-jogo-do-mar-jogo-do-mar_azul-caribe-333951-49176/p,148483,https://lojafarm.vteximg.com.br/arquivos/ids/3414023-500-750/333951_49176_1-CAMISA-JOGO-DO-MAR.jpg?v=638590791924530000
camisa,Camisa Estampada Mesa Fresca,https://www.farmrio.com.br/camisa-estampada-mesa-fresca-mesa-fresca_off-white-335976-49665/p,150334,https://lojafarm.vteximg.com.br/arquivos/ids/3429188-500-750/335976_49665_1-CAMISA-MESA-FRESCA.jpg?v=638604658818370000
camisa,Camisa Longa,https://www.farmrio.com.br/camisa-longa-azul-krabi-333914-05052/p,151242,https://lojafarm.vteximg.com.br/arquivos/ids/3413669-500-750/333914_05052_1-CAMISA-LONGA-BOLSO.jpg?v=638590787420500000
camisa,Camisa Uni Estampada Paisagem Ribeirinha,https://www.farmrio.com.br/camisa-uni-estampada-paisagem-ribeirinha-paisagem-ribeirinha_espelhado_azul-nebl-334879-49379/p,149051,https://lojafarm.vteximg.com.br/arquivos/ids/3403126-500-750/334879_49379_1-CAMISA-UNI-PAISAGEM-RIBEIRINHA.jpg?v=638575296505800000
camisa,Camisa Longa,https://www.farmrio.com.br/camisa-longa-verde-trevo-333914-07446/p,151244,https://lojafarm.vteximg.com.br/arquivos/ids/3413694-500-750/333914_07446_1-CAMISA-LONGA-BOLSO.jpg?v=638590787637670000
camisa,Camisa Linho Estampada Pólen,https://www.farmrio.com.br/camisa-linho-estampada-polen-est-polen_eng-camisa_verde-ficus-329801-49316/p,148549,https://lojafarm.vteximg.com.br/arquivos/ids/3388368-500-750/329801_49316_1-CAMISA-LINHO-ESTAMPADA-POLEN.jpg?v=638552082024700000
camisa,Camisa Longa,https://www.farmrio.com.br/camisa-longa-vermelho-espetaculo-333914-07024/p,151243,https://lojafarm.vteximg.com.br/arquivos/ids/3413679-500-750/333914_07024_1-CAMISA-LONGA-BOLSO.jpg?v=638590787541930000
camisa,Camisa Estampada Tucabacana,https://www.farmrio.com.br/camisa-estampada-tucabacana-tucabacana_vermelho-hibisco-333932-49124/p,148307,https://lojafarm.vteximg.com.br/arquivos/ids/3413815-500-750/333932_49124_1-VESTIDO-TUNICA-TUCABACANA.jpg?v=638590789340300000
camisa,Camisa Manga Longa Estampada Orquídea,https://www.farmrio.com.br/camisa-manga-longa-estampada-orquidea-est-orquidea_preto---329466-48309/p,81821,https://lojafarm.vteximg.com.br/arquivos/ids/3384933-500-750/329466_48309_1-CAMISA-MANGA-LONGA-ESTAMPADA-ORQUIDEA.jpg?v=638544114617600000
camisa,Camisa Jacquard Estampada Concha Do Mar,https://www.farmrio.com.br/camisa-jacquard-estampada-concha-do-mar-est-concha-do-mar_off-white-333847-49188/p,148908,https://lojafarm.vteximg.com.br/arquivos/ids/3405000-500-750/333847_49188_1-CAMISA-JACQUARD-CONCHA-DO-MAR.jpg?v=638579701777600000
camisa,Camisa Cropped Tricot Artesanal,https://www.farmrio.com.br/camisa-cropped-tricot-artesanal-preto-333852-0013/p,84416,https://lojafarm.vteximg.com.br/arquivos/ids/3371183-500-750/333852_0013_1-CAMISA-CROPPED-TRICOT-ARTESANAL.jpg?v=638521009522370000
camisa,Camisa Manga Longa Estampada Ravenala,https://www.farmrio.com.br/camisa-manga-longa-estampada-ravenala-est-ravenala_verde-alecrim---329468-48292/p,81826,https://lojafarm.vteximg.com.br/arquivos/ids/3379385-500-750/329468_48292_1-CAMISA-MANGA-LONGA-ESTAMPADA-RAVENALA.jpg?v=638527510690000000
